BvBmsy,FvFmsy,i_rights
1.37,0.42,No ITQ
1.38,0.511,No ITQ
1.38,0.392,No ITQ
1.39,0.378,No ITQ
1.4,0.459,No ITQ
1.4,0.221,No ITQ
1.41,0.367,No ITQ
1.45,0.408,No ITQ
1.44,0.191,No ITQ
1.45,0.278,No ITQ
1.45,0.213,No ITQ
1.48,0.204,No ITQ
1.5,0.232,No ITQ
1.52,0.269,No ITQ
1.53,0.251,No ITQ
1.54,0.179,No ITQ
1.54,0.179,No ITQ
1.54,0.179,No ITQ
1.54,0.179,No ITQ
0.387,1.32,ITQ
0.533,1.79,ITQ
0.663,1.37,ITQ
0.807,0.571,ITQ
0.892,0.656,ITQ
0.798,1.31,ITQ
0.656,1.24,ITQ
0.614,0.638,ITQ
0.538,1.42,ITQ
0.689,0,ITQ
0.756,0,ITQ
0.695,0.528,ITQ
0.648,0.621,ITQ
0.753,1.23,ITQ
0.922,0.836,ITQ
0.947,0.472,ITQ
0.929,0.428,ITQ
1.01,0.48,ITQ
0.988,0.791,ITQ
0.909,0.805,ITQ
0.963,1.18,ITQ
1.08,0.863,ITQ
1.11,1.05,ITQ
1.11,1.05,ITQ
1.11,1.05,ITQ
1.11,1.05,ITQ
1.11,1.05,ITQ
1.11,1.05,ITQ
0.796,0,No ITQ
0.796,0,No ITQ
0.501,0,No ITQ
0.137,0,No ITQ
0.112,0,No ITQ
0.025,0,No ITQ
0.044,0,No ITQ
0.013,0,No ITQ
0.091,0,No ITQ
0.596,0,No ITQ
0.464,0,No ITQ
1.75,0,No ITQ
1.39,0,No ITQ
2.5,0.376,No ITQ
2.5,0.247,No ITQ
1.28,0.33,No ITQ
0.824,0.114,No ITQ
1.61,0.221,No ITQ
0.881,0.289,No ITQ
0.784,0,No ITQ
1.17,0,No ITQ
2.5,0,No ITQ
1.86,0,No ITQ
1.68,0,No ITQ
1.23,0,No ITQ
0.94,0,No ITQ
2.18,0,No ITQ
2.5,0,No ITQ
2.5,0,No ITQ
2.5,0,No ITQ
2.5,0,No ITQ
2.5,0,No ITQ
1.84,0.085,ITQ
1.9,0.387,ITQ
2,0.698,ITQ
2.1,0.434,ITQ
2.23,0.16,ITQ
2.4,0.179,ITQ
2.5,0.321,ITQ
2.5,0.387,ITQ
2.5,0.613,ITQ
2.5,0.755,ITQ
2.5,0.84,ITQ
2.5,1.09,ITQ
2.44,1.49,ITQ
2.15,1.18,ITQ
1.91,1.19,ITQ
1.68,1.14,ITQ
1.51,1.37,ITQ
1.35,1.02,ITQ
1.22,0.509,ITQ
1.17,0.575,ITQ
1.12,0.509,ITQ
1.1,0.538,ITQ
1.14,0.453,ITQ
1.26,0.434,ITQ
1.42,0.453,ITQ
1.58,0.425,ITQ
1.72,0.792,ITQ
1.79,1.01,ITQ
1.77,1.12,ITQ
1.69,1.08,ITQ
1.59,1.03,ITQ
1.47,0.953,ITQ
1.36,0.896,ITQ
1.25,0.991,ITQ
1.14,1.03,ITQ
1.06,0.849,ITQ
1.01,0.755,ITQ
0.976,0.708,ITQ
0.955,0.726,ITQ
0.913,0.755,ITQ
0.882,0.906,ITQ
0.851,0.83,ITQ
0.851,0.821,ITQ
0.872,0.915,ITQ
0.913,0.896,ITQ
0.976,0.755,ITQ
1.05,0.689,ITQ
1.11,0.67,ITQ
1.13,0.66,ITQ
1.12,0.604,ITQ
1.1,0.585,ITQ
1.1,0.585,ITQ
1.1,0.585,ITQ
0.908,0.297,ITQ
0.736,0.525,ITQ
0.528,1.39,ITQ
0.619,0.975,ITQ
0.965,0.253,ITQ
1.48,0.095,ITQ
1.62,0.184,ITQ
1.46,0.304,ITQ
1.25,0.437,ITQ
1.15,0.88,ITQ
1.33,0.968,ITQ
1.71,0.703,ITQ
1.69,1.27,ITQ
1.43,1.72,ITQ
1.27,1.59,ITQ
1.25,0.943,ITQ
1.26,0.665,ITQ
1.54,0.5,ITQ
2.11,0.373,ITQ
2.17,0.557,ITQ
1.75,0.544,ITQ
1.55,0.12,ITQ
1.28,0.114,ITQ
1.06,0.196,ITQ
0.997,0.184,ITQ
1.04,0.127,ITQ
1.04,0.12,ITQ
0.959,0.209,ITQ
0.99,0.234,ITQ
1.14,0.342,ITQ
1.41,0.215,ITQ
1.54,0.146,ITQ
1.45,0.165,ITQ
1.2,0.354,ITQ
1.1,0.373,ITQ
1.57,0.184,ITQ
2.5,0.144,ITQ
2.5,0.46,ITQ
2.5,0.37,ITQ
2.5,0.411,ITQ
2.5,0.33,ITQ
2.5,0.253,ITQ
2.5,0.201,ITQ
2.5,0.152,ITQ
2.5,0.186,ITQ
2.5,0.248,ITQ
2.5,0.558,ITQ
2.5,1.07,ITQ
2.5,1.18,ITQ
1.99,2.62,ITQ
1.31,3.06,ITQ
1.45,0.564,ITQ
1.49,0.201,ITQ
1.2,0.064,ITQ
0.707,0.195,ITQ
0.647,0,ITQ
0.802,0,ITQ
1.2,0.114,ITQ
1.76,0.229,ITQ
2.1,0.663,ITQ
1.99,1.08,ITQ
1.82,0.977,ITQ
