SciName,Country,i_right,turf,SpeciesCat
Panulirus spp,Belize,FALSE,TRUE,43
Papustyla pulcherrima,Vanuatu,FALSE,TRUE,58
Paracentrotus lividus,Spain,FALSE,TRUE,76
Paralabrax maculatofasciatus_,Mexico,FALSE,TRUE,33
Paralichthys dentatus,United States,TRUE,FALSE,31
Paralithodes camtschaticus,United States,TRUE,FALSE,44
Paralomis granulosa,Chile,FALSE,TRUE,44
Parophrys vetulus,United States,TRUE,FALSE,31
Pattalus mollis,Chile,FALSE,TRUE,77
Pecten maximus,Chile,FALSE,TRUE,55
Penaeus esculentus,Australia,FALSE,TRUE,45
Penaeus indicus,Sri Lanka,FALSE,TRUE,45
Penaeus indicus,India,FALSE,TRUE,45
