SpeciesCat,SciName
11,Barbatula barbatula
11,Barbucca diabolica
11,Bhavania australis
11,Crossostoma lacustre
11,Ellopostoma megalomycter
11,Gastromyzon borneensis
11,Glaniopsis denudata
11,Hemimyzon formosanum
11,Homaloptera bilineata
11,Homaloptera spp
11,Hypergastromyzon eubranchus
11,Indoreonectes evezardi
11,Lefua echigonia
11,Micronemacheilus cruciatus
11,Nemacheilus abyssinicus
11,Nemacheilus denisoni
11,Neogastromyzon nieuwenhuisii
11,Neohomaloptera johorensis
11,Neonoemacheilus labeosus
11,Oreonectes anophthalmus
11,Orthrias panthera
11,Parhomaloptera microstoma
11,Physoschistura brunneanus
11,Protomyzon aphelocheilus
11,Schistura balteata
11,Sectoria atriceps
11,Sewellia lineolata
11,Sinogastromyzon puliensis
11,Sphaerophysa dianchiensis
11,Sundoreonectes tiomanensis
11,Travancoria jonesi
11,Triplophysa choprai
11,Troglocobitis starostini
11,Tuberoschistura cambodgiensis
11,Vaillantella cinnamomea
11,Yunnanilus altus
12,Alticorpus macrocleithrum
12,Altolamprologus calvus
12,Amphilophus citrinellus
12,Anomalochromis thomasi
12,Apistogrammoides pucallpaensis
12,Archocentrus centrarchus
12,Aristochromis christyi
12,Asprotilapia leptura
12,Aulonocara auditor
12,Aulonocranus dewindti
12,Baileychromis centropomoides
12,Benthochromis tricoti
12,Biotodoma cupido
12,Biotoecus opercularis
12,Boulengerochromis microlepis
12,Buccochromis atritaeniatus
12,Bujurquina cordemadi
12,Callochromis macrops
12,Caprichromis liemi
12,Caquetaia kraussii
12,Cardiopharynx schoutedeni
12,Chaetobranchopsis australis
12,Chaetobranchus flavescens
12,Chalinochromis brichardi
12,Champsochromis caeruleus
12,Cheilochromis euchilus
12,Chilochromis duponti
12,Chilotilapia rhoadesii
12,Chromidotilapia batesii
12,Cleithracara maronii
12,Copadichromis azureus
12,Copadichromis virginalis
12,Corematodus shiranus
12,Ctenopharynx intermedius
12,Cunningtonia longiventralis
12,Cyathopharynx furcifer
12,Cyclopharynx fwae
12,Cyprichromis leptosoma
12,Cyrtocara moorii
12,Danakilia franchettii
12,Dicrossus maculatus
12,Dimidiochromis compressiceps
12,Diplotaxodon greenwoodi
12,Oreochromis mossambicus
12,Oreochromis niloticus
12,Oreochromis aureus
12,Oreochromis spilurus
12,Oreochromis macrochir
12,Oreochromis urolepis
12,Oreochromis andersonii
12,Oreochromis alcalicus
12,Oreochromis amphimelas
12,Oreochromis angolensis
12,Oreochromis chungruruensis
12,Oreochromis esculentus
12,Oreochromis hunteri
12,Oreochromis jipe
12,Oreochromis karomo
12,Oreochromis karongae
12,Oreochromis korogwe
12,Oreochromis lepidurus
12,Oreochromis leucostictus
12,Oreochromis lidole
12,Oreochromis malagarasi
12,Oreochromis mortimeri
12,Oreochromis pangani
12,Oreochromis placidus
12,Oreochromis rukwaensis
12,Oreochromis saka
12,Oreochromis salinicola
12,Oreochromis schwebischi
12,Oreochromis shiranus
12,Oreochromis squamipinnis
12,Oreochromis tanganicae
12,Oreochromis upembae
12,Oreochromis variabilis
12,Oreochromis (=Tilapia) spp
12,Oreochromis aureus x O. niloticus
12,Oreochromis andersonii x O. niloticus
12,Sarotherodon galilaeus
12,Sarotherodon melanotheron
12,Cichlasoma beani
12,Cichlasoma bimaculatum
12,Cichlasoma facetum
12,Cichlasoma istlanum
12,Cichlasoma cyanoguttatum
12,Cichlasoma managuense
12,Cichlasoma maculicauda
12,Cichlasoma urophthalmus
12,Cichlasoma nigrofasciatum
12,Cichlasoma octofasciatum
12,Cichlasoma festae
12,Cichlasoma spp
12,Cichla ocellaris
12,Cichla temensis
12,Cichla spp
12,Docimodus johnstoni
12,Tilapia zillii
12,Tilapia sparrmanii
12,Tilapia rendalli
12,Tilapia guineensis
12,Tilapia bakossiorum
12,Tilapia baloni
12,Tilapia bemini
12,Tilapia bilineata
12,Tilapia brevimanus
12,Tilapia busumana
12,Tilapia buttikoferi
12,Tilapia bythobates
12,Tilapia cabrae
12,Tilapia cameronensis
12,Tilapia camerunensis
12,Tilapia cessiana
12,Tilapia coffea
12,Tilapia congica
12,Tilapia dageti
12,Tilapia deckerti
12,Tilapia discolor
12,Tilapia flava
12,Tilapia guinasana
12,Tilapia gutturosa
12,Tilapia imbriferna
12,Tilapia joka
12,Tilapia kottae
12,Tilapia louka
12,Tilapia margaritacea
12,Tilapia mariae
12,Tilapia nyongana
12,Tilapia rheophila
12,Tilapia ruweti
12,Tilapia snyderae
12,Tilapia spongotroktis
12,Tilapia tholloni
12,Tilapia thysi
12,Tilapia walteri
12,Eclectochromis festivus
12,Ectodus descampsii
12,Enantiopus albini
12,Eretmodus cyanostictus
12,Exochochromis anagenys
12,Fossorochromis rostratus
12,Gephyrochromis lawsi
12,Gnathochromis permaxillaris
12,Gobiocichla ethelwynnae
12,Grammatotria lemairii
12,Greenwoodochromis bellcrossi
12,Guianacara oelemariensis
12,Gymnogeophagus balzanii
12,Haplotaxodon microlepis
12,Hemibates stenosoma
12,Hemitaeniochromis urotaenia
12,Hemitilapia oxyrhyncha
12,Heros appendiculatus
12,Herotilapia multispinosa
12,Heterochromis multidens
12,Hoplarchus psittacus
12,Hoplotilapia retrodens
12,Hypselecara coryphaenoides
12,Hypsophrys nicaraguensis
12,Iodotropheus sprengerae
12,Iranocichla hormuzensis
12,Konia dikume
12,Krobia guianensis
12,Laetacara flavilabris
12,Lepidiolamprologus attenuatus
