"","Country","current_gdp","SciName","i_right","turf","SpeciesCat"
"196","Netherlands",52503.26827,"Mackerel",0,1,37
"197","Netherlands",52503.26827,"Mullet spp",0,1,33
"198","Netherlands",52503.26827,"Razor clams",0,1,56
"199","Netherlands",52503.26827,"Sea bass spp",0,1,33
"200","Netherlands",52503.26827,"Smelt spp",0,1,33
"201","Netherlands",52503.26827,"Sprat spp",0,1,33
"202","New Zealand",41109.00768,"Allocyttus niger",1,0,34
"203","New Zealand",41109.00768,"Chrysophrys auratus",1,0,33
"204","New Zealand",41109.00768,"Epigonus telescopus",1,0,34
"205","New Zealand",41109.00768,"Genypterus blacodes",1,0,34
"206","New Zealand",41109.00768,"Hyperoglyphe antarctica",1,0,34
"207","New Zealand",41109.00768,"Jasus edwardsii",1,0,43
"208","New Zealand",41109.00768,"Kathetostoma giganteum",1,0,34
"209","New Zealand",41109.00768,"Nemadactylus macropterus",1,0,34
"210","New Zealand",41109.00768,"Pseudocyttus maculatus",1,0,34
"211","New Zealand",41109.00768,"Rexea solandri",1,0,34
"212","Peru",13434.1256,"Engraulis ringens",1,0,35
"213","Philippines",8342.804479,"Anodontostoma chacunda",0,1,24
"214","Philippines",8342.804479,"Atherinidae",0,1,37
"215","Philippines",8342.804479,"Centropomidae",0,1,33
"216","Philippines",8342.804479,"Latidae",0,1,13
"217","Philippines",8342.804479,"Lutjanid spp",0,1,33
"218","Philippines",8342.804479,"Pomacentridae",0,1,33
"219","Philippines",8342.804479,"Serranid spp",0,1,33
"220","Sweden",50208.16476,"Pandalus borealis",0,1,45
"221","United States",59531.66196,"Anoplopoma fimbria",1,0,34
"222","United States",59531.66196,"Callinectes sapidus",0,1,42
"223","United States",59531.66196,"Chionoecetes bairdi",1,0,42
"224","United States",59531.66196,"Chionoecetes opilio",1,0,42
"225","United States",59531.66196,"Clam spp",0,1,56
"226","United States",59531.66196,"Eopsetta jordani",1,0,31
"227","United States",59531.66196,"Epinephelus flavolimbatus",1,0,33
"228","United States",59531.66196,"Epinephelus morio",1,0,33
"229","United States",59531.66196,"Gadus macrocephalus",1,0,32
"230","United States",59531.66196,"Hippoglossoides elassodon",1,0,31
"231","United States",59531.66196,"Lepidopsetta polyxystra",1,0,31
"232","United States",59531.66196,"Limanda aspera",1,0,31
"233","United States",59531.66196,"Lopholatilus chamaeleonticeps",1,0,34
"234","United States",59531.66196,"Metacarcinus magister",0,1,42
"235","United States",59531.66196,"Microstomus pacificus",1,0,31
"236","United States",59531.66196,"Mycteroperca bonaci",1,0,33
"237","United States",59531.66196,"Mycteroperca microlepis",1,0,33
"238","United States",59531.66196,"Oncorhynchus gorbuscha",0,1,23
"239","United States",59531.66196,"Oncorhynchus keta",0,1,23
"240","United States",59531.66196,"Oncorhynchus kisutch",0,1,23
"241","United States",59531.66196,"Oncorhynchus mykiss",0,1,23
"242","United States",59531.66196,"Oncorhynchus nerka",0,1,23
"243","United States",59531.66196,"Oncorhynchus tshawytscha",0,1,23
"244","United States",59531.66196,"Ophiodon elongatus",1,0,33
"245","United States",59531.66196,"Oyster spp",0,1,53
"246","United States",59531.66196,"Panopea generosa",0,1,56
"247","United States",59531.66196,"Paralichthys dentatus",1,0,31
"248","United States",59531.66196,"Paralithodes camtschaticus",1,0,44
"249","United States",59531.66196,"Parophrys vetulus",1,0,31
"250","United States",59531.66196,"Platichthys stellatus",1,0,31
"251","United States",59531.66196,"Pleurogrammus monopterygius",1,0,33
"252","United States",59531.66196,"Reinhardtius stomias",1,0,31
"253","United States",59531.66196,"Sebastes alutus",1,0,34
"254","United States",59531.66196,"Sebastes chlorostictus",1,0,34
"255","United States",59531.66196,"Sebastes crameri",1,0,34
"256","United States",59531.66196,"Sebastes diploproa",1,0,34
"257","United States",59531.66196,"Sebastes elongatus",1,0,34
"258","United States",59531.66196,"Sebastes entomelas",1,0,34
"259","United States",59531.66196,"Sebastes flavidus",1,0,34
"260","United States",59531.66196,"Sebastes goodei",1,0,34
"261","United States",59531.66196,"Sebastes jordani",1,0,34
"262","United States",59531.66196,"Sebastes levis",1,0,34
"263","United States",59531.66196,"Sebastes melanostomus",1,0,34
"264","United States",59531.66196,"Sebastes paucispinis",1,0,34
"265","United States",59531.66196,"Sebastes pinniger",1,0,34
"266","United States",59531.66196,"Sebastes ruberrimus",1,0,34
"267","United States",59531.66196,"Sebastes rufus",1,0,34
"268","United States",59531.66196,"Sebastolobus alascanus",1,0,34
"269","United States",59531.66196,"Sebastolobus altivelis",1,0,34
"270","United States",59531.66196,"Spisula solidissima",1,0,56
"271","Vietnam",6775.832191,"Gerres filamentosus",0,1,33
"272","Vietnam",6775.832191,"Glossogobius giuris",0,1,13
"273","Vietnam",6775.832191,"Meretrix lyrata",0,1,56
"274","Vietnam",6775.832191,"Metapenaeus ensis",0,1,45
"275","Vietnam",6775.832191,"Penaeus monodon",0,1,45
"276","Vietnam",6775.832191,"Penaeus semisulcatus",0,1,45
"277","Vietnam",6775.832191,"Portunus pelagicus",0,1,42
"278","Vietnam",6775.832191,"Portunus sanguinolentus",0,1,42
"279","Vietnam",6775.832191,"Scylla serrata",0,1,42
"280","Vietnam",6775.832191,"Siganus spp",0,1,33
"281","Vietnam",6775.832191,"Terapon theraps",0,1,33
"282","Vanuatu",3207.831231,"Birgus latro",0,1,44
"283","Vanuatu",3207.831231,"Clam spp",0,1,56
"284","Vanuatu",3207.831231,"Octopus spp",0,1,57
"285","Vanuatu",3207.831231,"Papustyla pulcherrima",0,1,58
"286","Vanuatu",3207.831231,"Reef fish",0,1,33
"287","Vanuatu",3207.831231,"Sea cucumber",0,1,77
"288","Vanuatu",3207.831231,"Shellfish spp",0,1,58
"289","Vanuatu",3207.831231,"Trochus spp",0,1,58
"290","South Africa",13497.9878,"Trachurus capensis",1,0,37
