Country,current_gdp,SciName,i_right,turf,SpeciesCat
United States,59531.66196,Epinephelus flavolimbatus,1,0,33
United States,59531.66196,Epinephelus morio,1,0,33
United States,59531.66196,Gadus macrocephalus,1,0,32
United States,59531.66196,Hippoglossoides elassodon,1,0,31
United States,59531.66196,Lepidopsetta polyxystra,1,0,31
United States,59531.66196,Limanda aspera,1,0,31
United States,59531.66196,Lopholatilus chamaeleonticeps,1,0,34
United States,59531.66196,Metacarcinus magister,0,1,42
United States,59531.66196,Microstomus pacificus,1,0,31
United States,59531.66196,Mycteroperca bonaci,1,0,33
United States,59531.66196,Mycteroperca microlepis,1,0,33
United States,59531.66196,Oncorhynchus gorbuscha,0,1,23
United States,59531.66196,Oncorhynchus keta,0,1,23
United States,59531.66196,Oncorhynchus kisutch,0,1,23
United States,59531.66196,Oncorhynchus mykiss,0,1,23
United States,59531.66196,Oncorhynchus nerka,0,1,23
United States,59531.66196,Oncorhynchus tshawytscha,0,1,23
United States,59531.66196,Ophiodon elongatus,1,0,33
United States,59531.66196,Oyster spp,0,1,53
United States,59531.66196,Panopea generosa,0,1,56
United States,59531.66196,Paralichthys dentatus,1,0,31
United States,59531.66196,Paralithodes camtschaticus,1,0,44
United States,59531.66196,Parophrys vetulus,1,0,31
United States,59531.66196,Platichthys stellatus,1,0,31
United States,59531.66196,Pleurogrammus monopterygius,1,0,33
United States,59531.66196,Reinhardtius stomias,1,0,31
United States,59531.66196,Sebastes alutus,1,0,34
United States,59531.66196,Sebastes chlorostictus,1,0,34
United States,59531.66196,Sebastes crameri,1,0,34
United States,59531.66196,Sebastes diploproa,1,0,34
United States,59531.66196,Sebastes elongatus,1,0,34
United States,59531.66196,Sebastes entomelas,1,0,34
United States,59531.66196,Sebastes flavidus,1,0,34
United States,59531.66196,Sebastes goodei,1,0,34
United States,59531.66196,Sebastes jordani,1,0,34
United States,59531.66196,Sebastes levis,1,0,34
United States,59531.66196,Sebastes melanostomus,1,0,34
United States,59531.66196,Sebastes paucispinis,1,0,34
United States,59531.66196,Sebastes pinniger,1,0,34
United States,59531.66196,Sebastes ruberrimus,1,0,34
United States,59531.66196,Sebastes rufus,1,0,34
United States,59531.66196,Sebastolobus alascanus,1,0,34
United States,59531.66196,Sebastolobus altivelis,1,0,34
United States,59531.66196,Spisula solidissima,1,0,56
Vietnam,6775.832191,Gerres filamentosus,0,1,33
Vietnam,6775.832191,Glossogobius giuris,0,1,13
Vietnam,6775.832191,Meretrix lyrata,0,1,56
Vietnam,6775.832191,Metapenaeus ensis,0,1,45
Vietnam,6775.832191,Penaeus monodon,0,1,45
Vietnam,6775.832191,Penaeus semisulcatus,0,1,45
Vietnam,6775.832191,Portunus pelagicus,0,1,42
Vietnam,6775.832191,Portunus sanguinolentus,0,1,42
Vietnam,6775.832191,Scylla serrata,0,1,42
Vietnam,6775.832191,Siganus spp,0,1,33
Vietnam,6775.832191,Terapon theraps,0,1,33
Vanuatu,3207.831231,Birgus latro,0,1,44
Vanuatu,3207.831231,Clam spp,0,1,56
Vanuatu,3207.831231,Octopus spp,0,1,57
Vanuatu,3207.831231,Papustyla pulcherrima,0,1,58
Vanuatu,3207.831231,Reef fish,0,1,33
Vanuatu,3207.831231,Sea cucumber,0,1,77
Vanuatu,3207.831231,Shellfish spp,0,1,58
Vanuatu,3207.831231,Trochus spp,0,1,58
South Africa,13497.9878,Trachurus capensis,1,0,37
